YEAR,MONTH,DAY,ORIGIN,ID,COUNTRY,REGION,DEPARTMENT_OF_ENERGY,LATITUDE,LONGITUDE,DEPTH,YIELD_1,YEILD_2,PURPOSE,NAME,TYPE;
53,04,25, 123000.0, 53007, USA, NTS, DOE, 37.000, -116.000, -0.100, 43.0, 43.0, WR, SIMON, TOWER ;
53,05,08, 153000.0, 53008, USA, NTS, DOE, 37.000, -116.000, -0.800, 27.0, 27.0, WE, ENCORE, AIRDROP ;
53,05,19, 120500.0, 53009, USA, NTS, DOE, 37.000, -116.000, -0.100, 32.0, 32.0, WR, HARRY, TOWER ;
53,05,25, 153000.0, 53010, USA, NTS, DOE, 37.000, -116.000, -0.200, 15.0, 15.0, WR, GRABLE, ATMOSPH ;
53,06,04, 111500.0, 53011, USA, NTS, DOE, 37.000, -116.000, -0.400, 61.0, 61.0, WR, CLIMAX, AIRDROP ;
53,08,12, 0.0, 53012, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 400.0, 400.0, WR, SURFACE, :1 TOWER ;
53,10,14, 223000.0, 53017, UK, EMU, AUSTR,  -28.700, 132.350, 0.000, 10.0, 10.0, WR, TOTEM, :1 TOWER ;
53,10,26, 223000.0, 53018, UK, EMU, AUSTR,  -28.700, 132.350, 0.000, 8.0, 8.0, WR, TOTEM, TOWER ;
54,02,28, 184500.0, 54001, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 15000.0, 15000.0, WR, BRAVO, SURFACE ;
54,03,26, 183000.0, 54002, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 11000.0, 11000.0, WR, ROMEO, BARGE ;
54,04,06, 182000.0, 54003, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 110.0, 110.0, WR, KOON, SURFACE ;
54,04,25, 181000.0, 54004, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 6900.0, 6900.0, WR, UNION, BARGE ;
54,05,04, 181000.0, 54005, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 13500.0, 13500.0, WR, YANKEE, BARGE ;
54,05,13, 182000.0, 54006, USA, ENEWETAK, DOE, 11.300, 162.150, -O.001, 1690.0, 1690.0, WR, NECTAR, BARGE ;
54,09,14, 53600.0, 54007, USSR, ORENBG, RUSS,  52.000, 55.000, 0.000, 40.0, 40.0, ME, ATMOSPH, AIRDROP ;
54,09,29, 0.0, 54008, USSR, SEMI, KAZAKH,  50.000, 78.000, o.ooo 0.2 0.2 WR ATMOSPH ,,,,, AIRDROP ;
54,10,01, 0.0, 54009, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 0.03, 0.03, WR, ATMOSPH, AIRDROP ;
54,10,03, 0.0, 54010, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 2.0, 2.0, WR, ATMOSPH, AIRDROP ;
54,10,05, 0.0, 54011, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 4.0, 4.0, WR, SURFACE, AIRDROP ;
54,10,08, 0.0, 54012, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 0.8, 0.8, WR, ATMOSPH, AIRDROP ;
54,10,19, 0.0, 54013, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 0.0, 0.001, WR, SURFACE, AIRDROP ;
54,10,23, 0.0, 54014, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 62.0, 62.0, WR, ATMOSPH, AIRDROP ;
54,10,26, 0.0, 54015, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 2.8, 2.8, WR, ATMOSPH, AIRDROP ;
54,10,30, 0.0, 54016, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 10.0, 10.0, WR, SURFACE, AIRDROP ;
55,02,18, 200000.0, 55001, USA, NTS, DOE, 37.000, -116.000, -0.250, 1.0, 1.0, WE, WASP, AIRDROP ;
55,02,22, 134500.0, 55002, USA, NTS, DOE, 37.000, -116.000, -0.100, 2.0, 2.0, WR, MOTH, TOWER ;
55,03,01, 133000.0, 55003, USA, NTS, DOE, 37.000, -116.000, -0.100, 7.0, 7.0, WR, TESLA, TOWER ;
55,03,07, 132000.0, 55004, USA, NTS, DOE, 37.000, -116.000, -0.200, 43.0, 43.0, WR, TURK, TOWER ;
55,03,12, 132000.0, 55005, USA, NTS, DOE, 37.000, -116.000, -0.100, 4.0, 4.0, WR, HORNET, TOWER ;
55,03,22, 130500.0, 55006, USA, NTS, DOE, 37.000, -116.000, -0.200, 8.0, 8.0, WR, BEE, TOWER ;
55,03,23, 203000.0, 55007, USA, NTS, DOE, 37.000, -116.000, 0.020, 1.0, 1.0, WE, ESS, CRATER ;
55,03,29, 125500.0, 55008, USA, NTS, DOE, 37.000, -116.000, -0.200, 14.0, 14.0, WR, APPLE, :1 TOWER ;
55,03,29, 180000.0, 55009, USA, NTS, DOE, 37.000, -116.000, -0.25, 3.0, 3.0, WR, WASP, PRIME AIRDROP ;
55,04,06, 180000.0, 55010, USA, NTS, DOE, 37.000, -116.000, -12, 3.0, 3.0, WE, HA, AIRDROP ;
55,04,09, 123000.0, 55011, USA, NTS, DOE, 37.000, -116.000, -0.100, 2.0, 2.0, WR, POST, TOWER ;
55,05,14, 0.0, 55014, USA, OFFUSWCOAST, DOE, 29.000, -126.000, 0.000, 30.0, 30.0, WE, WIGWAM, UW ;
55,05,15, 120000.0, 55015, USA, NTS, DOE, 37.000, -116.000, -0.200, 28.0, 28.0, WR, ZUCCHINI, TOWER ;
55,07,29, 0.0, 55016, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 1.3, 1.3, WR, SURFACE, 56:1 SURFACE ;
55,08,02, 0.0, 55017, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 12.0, 12.0, WR, SURFACE, 56:1 SURFACE ;
55,08,05, 0.0, 55018, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 1.2, 1.2, WR, SURFACE, 56:1 SURFACE ;
55,09,21, 0.0, 55019, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 3.5, 3.5, WE, UW, 56:1 SURFACE ;
55,11,01, 221000.0, 55022, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, SE, PROJECT, 56:1 SURFACE ;
55,11,03, 211500.0, 55023, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, SE, PROJECT, 56:2 SURFACE ;
55,11,05, 195500.0, 55024, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, SE, PROJECT, 56:3 SURFACE ;
55,11,06, 0.0, 55020, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 250.0, 250.0, WR, ATMOSPH, 56:4 SURFACE ;
55,11,22, 0.0, 55021, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 1600.0, 1600.0, WR, ATMOSPH, 56:4 SURFACE ;
56,01,18, 213000.0, 56001, USA, NTS, DOE, 37.000, -116.000, -0.001, 0.0, 20.0, SE, PROJECT, 56:4 SURFACE ;
56,02,02, 0.0, 56002, USSR, KAZAKH, MTM, 46.000, 61.000, 0.000, 0.3, 0.3, WE, SURFACE, SURFACE ;
56,03,16, 0.0, 56003, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 14.0, 14.0, WR, SURFACE, SURFACE ;
56,03,25, 0.0, 56004, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 5.5, 5.5, WR, SURFACE, SURFACE ;
56,05,04, 182500.0, 56005, USA, ENEWETAK, DOE, 11.300, 162.150, -O.001, 40.0, 40.0, WR, LACROSSE, SURFACE ;
56,05,16, 35000.0, 56006, UK, MONTEB, AUSTR,  -20.230, 115.550, 0.000, 15.0, 15.0, WR, MOSAIC, TOWER ;
56,05,20, 175000.0, 56007, USA, BIKINI, DOE, 11.350, 165.200, -1.500, 3800.0, 3800.0, WR, CHEROKEE, AIRDROP ;
56,05,27, 175600.0, 56008, USA, BIKINI, DOE, 11.350, 165.200, -o.ooi 3500, 3500.0, WR ZUNI SURFACE ,,, TOWER ;
56,05,27, 195600.0, 56009, USA, ENEWETAK, DOE, 11.300, 162.150, 0.000, 0.19, 0.19, WR, YUMA, TOWER ;
56,05,30, 181500.0, 56010, USA, ENEWETAK, DOE, 11.300, 162.150, -0.100, 14.9, 14.9, WR, ERIE, TOWER ;
56,06,06, 5500.0, 56011, USA, ENEWETAK, DOE, 11.300, 162.150, -0.001, 13.7, 13.7, WR, SEMINOLE, SURFACE ;
56,06,11, 182600.0, 56012, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 365.0, 365.0, WR, FLATHEAD, BARGE ;
56,06,11, 182600.0, 56013, USA, ENEWETAK, DOE, 11.300, 162.150, -0.100, 8.0, 8.0, WR, BLACKFOOT, TOWER ;
56,06,13, 232600.0, 56014, USA, ENEWETAK, DOE, 11.300, 162.150, 0.000, 1.49, 1.49, WR, KICKAPOO, TOWER ;
56,06,16, 11400.0, 56015, USA, ENEWETAK, DOE, 11.300, 162.150, -0.200, 1.7, 1.7, WR, OSAGE, AIRDROP ;
56,06,19, 21400.0, 56016, UK, MONTEB, AUSTR,  -20.400, 115.530, 0.000, 60.0, 60.0, WR, MOSAIC, TOWER ;
56,06,21, 212600.0, 56017, USA, ENEWETAK, DOE, 11.300, 162.150, 0.000, 15.2, 15.2, WR, INCA, TOWER ;
56,06,25, 180600.0, 56018, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 1100.0, 1100.0, WR, DAKOTA, BARGE ;
56,07,02, 180600.0, 56019, USA, ENEWETAK, DOE, 11.300, 162.150, 0.000, 360.0, 360.0, WR, MOHAWK, TOWER ;
56,07,08, 180600.0, 56020, USA, ENEWETAK, DOE, 11.300, 162.150, -0.001, 1850.0, 1850.0, WR, APACHE, BARGE ;
56,07,10, 175600.0, 56021, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 4500.0, 4500.0, WR, NAVAJO, BARGE ;
56,07,20, 174600.0, 56022, USA, BIKINI, DOE, 11.350, 165.200, -0.001, 5000.0, 5000.0, WR, TEWA, BARGE ;
58,09,02, 172400.0, 58055, UK, CHRISTMAS, IS,  2.000, -157.000, 0.000, 1000.0, 1000.0, WR, GRAPPLE, AIRDROP ;
58,09,06, 221300.0, 58056, USA, S, DOE, -48.500, -9.700, -160, 1.0, 2.0, WE, ARGUS, ROCKET ;
58,09,11, 174900.0, 58057, UK, CHRISTMAS, IS,  2.000, -157.000, 0.000, 800.0, 800.0, WR, GRAPPLE, Z AIRDROP ;
58,09,12, 200000.0, 58058, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.038, 0.038, SB, OTERO, SHAFT ;
